Unnamed: 0,name,latitude,longitude,street_1,street_2,city,state,zip-code,phone,fax,url
0,Alaska Children's Heart Center,61.18975,-149.81952,3260 Providence Dr,Ste 532,Anchorage,AK,99508,901-565-2242,Na,https://intermountainhealthcare.org/locations/location-details/primary-children-s-hospital/primary-children-s-hospital-outpatient-services-building/alaska-children-s-heart-center/
1,Alta View Clinic,40.5795531,-111.8542365,9450 S 1300 E,,Sandy,UT,84094,801-501-2100,Na,https://intermountainhealthcare.org/locations/alta-view-clinic/
2,Alta View Clinic Allergy,40.5795531,-111.8542365,9450 S 1300 E,,Sandy,UT,84094,801-501-2145,Na,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-clinic/alta-view-clinic-allergy/
3,Alta View Clinic Dermatology,40.5795531,-111.8542365,9450 S 1300 E,,Sandy,UT,84094,801-501-2125,801-501-6210,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-clinic/alta-view-clinic-dermatology/
4,Alta View Clinic Diabetes and Endocrinology,40.5795531,-111.8542365,9450 S 1300 E,,Sandy,UT,84094,801-501-2143,Na,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-clinic/alta-view-clinic-diabetes-and-endocrinology/
5,Alta View Clinic Draw Station,40.5795531,-111.8542365,9450 S 1300 E,,Sandy,UT,84094,801-501-6051,801-501-2106,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-clinic/alta-view-clinic-draw-station/
6,Alta View Clinic ENT,40.5795531,-111.8542365,9450 S 1300 E,,Sandy,UT,84094,801-501-2127,801-501-6225,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-clinic/alta-view-clinic-ent/
7,Alta View Clinic Eye Care,40.5795531,-111.8542365,9450 S 1300 E,,Sandy,UT,84094,801-501-2126,Na,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-clinic/alta-view-clinic-eye-care/
8,Alta View Clinic Family Medicine,40.5795531,-111.8542365,9450 S 1300 E,,Sandy,UT,84094,801-501-2123,801-501-2951,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-clinic/alta-view-clinic-family-medicine/
9,Alta View Clinic Gastroenterology,40.5795531,-111.8542365,9450 S 1300 E,,Sandy,UT,84094,801-501-2112,Na,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-clinic/alta-view-clinic-gastroenterology/
10,Alta View Clinic General Surgery,40.5795531,-111.8542365,9450 S 1300 E,,Sandy,UT,84094,801-501-2111,801-501-6110,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-clinic/alta-view-clinic-general-surgery/
11,Alta View Clinic Internal Medicine,40.5795531,-111.8542365,9450 S 1300 E,,Sandy,UT,84094,801-501-2140,Na,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-clinic/alta-view-clinic-internal-medicine/
12,Alta View Clinic Labs Services,40.5795531,-111.8542365,9450 S 1300 E,,Sandy,UT,84094,801-501-2116,801-501-2106,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-clinic/alta-view-clinic-lab-services/
13,Alta View Clinic Pediatrics,40.5795531,-111.8542365,9450 S 1300 E,,Sandy,UT,84094,801-501-2131,Na,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-clinic/alta-view-clinic-pediatrics/
14,Alta View Clinic Plastic Surgery,40.5795531,-111.8542365,9450 S 1300 E,,Sandy,UT,84094,801-501-2121,801-501-6260,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-clinic/alta-view-clinic-plastic-surgery/
15,Alta View Clinic Podiatry,40.5795531,-111.8542365,9450 S 1300 E,,Sandy,UT,84094,801-501-2114,801-501-2104,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-clinic/alta-view-clinic-podiatry/
16,Alta View Clinic Pulmonology,40.5795531,-111.8542365,9450 S 1300 E,,Sandy,UT,84094,801-501-2142,Na,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-clinic/alta-view-clinic-pulmonology/
17,Alta View Clinic Radiology,40.5795531,-111.8542365,9450 S 1300 E,,Sandy,UT,84094,801-501-2115,Na,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-clinic/alta-view-clinic-radiology/
18,Alta View Clinic Senior Services,40.5795531,-111.8542365,9450 S 1300 E,,Sandy,UT,84094,801-501-2144,801-501-4099,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-clinic/alta-view-clinic-senior-services/
19,Intermountain Alta View Clinic Urology,40.5795531,-111.8542365,9450 S 1300 E,,Sandy,UT,84094,801-501-2122,801-501-2951,https://intermountainhealthcare.org/locations/alta-view-clinic/medical-services/urology/
20,Alta View Clinic Women's Specialists,40.5795531,-111.8542365,9450 S 1300 E,,Sandy,UT,84094,801-501-2135,801-501-2136,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-clinic/alta-view-clinic-women-s-specialists/
21,Alta View Hearing Services,40.5795531,-111.8542365,9450 S 1300 E Ste 210,,Sandy,UT,84094,801-501-2127,801-501-6210,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-clinic/alta-view-hearing-services/
22,Alta View Hospital,40.5769969,-111.8540517,9660 S 1300 E,,Sandy,UT,84094,801-501-2600,800-111-1111,https://intermountainhealthcare.orghttps://intermountainhealthcare.org/locations/alta-view-hospital
23,Alta View Hospital Administration,40.5769969,-111.8540517,9660 S 1300 E,,Sandy,UT,84094,801-501-2704,801-501-4327,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-hospital/alta-view-hospital-administration/
24,Alta View Hospital Admitting,40.5769969,-111.8540517,9660 S 1300 E,,Sandy,UT,84094,801-501-2720,801-501-2389,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-hospital/alta-view-hospital-admitting/
25,Alta View Hospital Billing,40.5769969,-111.8540517,9660 S 1300 E,,Sandy,UT,84094,801-906-2800,801-525-5925,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-hospital/alta-view-hospital-billing/
26,Alta View Hospital Cafeteria - An Apple A Day Cafe,40.5769969,-111.8540517,9660 S 1300 E,,Sandy,UT,84094,801-501-2688,Na,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-hospital/alta-view-hospital-cafeteria-an-apple-a-day-cafe/
27,Alta View Hospital Acute Case Management,40.5769969,-111.8540517,9660 S 1300 E,,Sandy,UT,84094,801-501-2726,Na,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-hospital/alta-view-hospital-case-management/
28,Alta View Hospital Cashier,40.5769969,-111.8540517,9660 S 1300 E,,Sandy,UT,84094,801-501-2760,801-501-4327,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-hospital/alta-view-hospital-cashier/
29,Alta View Hospital Communications/Public Relations,40.5769969,-111.8540517,9660 S 1300 E,,Sandy,UT,84094,801-501-2795,801-501-4327,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-hospital/alta-view-hospital-communications-public-relations/
30,Alta View Hospital Emergency Department,40.5769969,-111.8540517,9660 S 1300 E,,Sandy,UT,84094,801-501-3131,801-501-3132,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-hospital/alta-view-hospital-emergency-department/
31,Alta View Hospital Emergency Department Case Management,40.5779691,-111.8541018,9660 S 1300 E,,Sandy,UT,84094,801-501-2535,801-501-2602,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-hospital/alta-view-hospital-emergency-department-case-management/
32,Alta View Hospital Employee Health,40.5769969,-111.8540517,9660 S 1300 E,,Sandy,UT,84094,801-501-2663,801-501-2062,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-hospital/alta-view-hospital-employee-health/
33,Alta View Hospital Financial Assistance,40.5769969,-111.8540517,9660 S 1300 E,,Sandy,UT,84094,800-442-1128,801-442-0007,https://intermountainhealthcare.org/patient-tools/financial-assistance/
34,Alta View Hospital Gift Shop,40.5769969,-111.8540517,9660 S 1300 E,,Sandy,UT,84094,801-501-2029,Na,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-hospital/alta-view-hospital-gift-shop/
35,Alta View Hospital Health Information Management,40.5769969,-111.8540517,9660 S 1300 E,,Sandy,UT,84094,801-501-2067,385-215-7046,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-hospital/alta-view-hospital-health-information-management/
36,Alta View Hospital Human Resources,40.5769969,-111.8540517,9660 S 1300 E,,Sandy,UT,84094,801-501-2766,801-501-2043,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-hospital/alta-view-hospital-human-resources/
37,Alta View Hospital Imaging Center,40.5769969,-111.8540517,9660 S 1300 E,,Sandy,UT,84094,801-501-2289,801-501-2783,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-hospital/alta-view-hospital-imaging-center/
38,Alta View Hospital Infusion Services,40.5769969,-111.8540517,9960 S 1300 E,,Sandy,UT,84094,801-501-2436,801-501-2801,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-hospital/alta-view-hospital-infusion-services/
39,Alta View Hospital Labor & Delivery,40.578051,-111.853267,9600 S 1300 E,,Sandy,UT,84094,801-501-2332,801-501-2078,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-women-s-center/alta-view-hospital-labor-delivery/
40,Alta View Hospital Outpatient Lab,40.5769969,-111.8540517,9660 S 1300 E,,Sandy,UT,84094,801-501-5044,801-501-2346,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-hospital/alta-view-hospital-outpatient-lab/
41,Alta View Hospital Outpatient Nutrition Services,40.5769969,-111.8540517,9660 S 1300 E,,Sandy,UT,84094,801-507-3253,801-442-0196,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-hospital/alta-view-hospital-outpatient-nutrition-services/
42,Alta View Hospital Outpatient Pulmonary Test Lab,40.5769969,-111.8540517,9660 S 1300 E,,Sandy,UT,84094,801-501-2446,801-408-2916,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-hospital/alta-view-hospital-outpatient-pulmonary-test-lab/
43,Alta View Hospital Patient Relations,40.5769969,-111.8540517,9450 S 1300 E,,Sandy,UT,84094,801-501-2382,801-501-2293,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-hospital/alta-view-hospital-patient-relations/
44,Alta View Hospital Physical Therapy,40.5795531,-111.8542365,9450 S 1300 E,,Sandy,UT,84094,801-501-2133,801-501-2254,https://intermountainhealthcare.org/locations/alta-view-clinic/medical-services/physical-therapy/
45,Alta View Hospital Security,40.5769969,-111.8540517,9660 S 1300 E,,Sandy,UT,84094,801-501-2619,Na,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-hospital/alta-view-hospital-security/
46,Alta View Hospital Sleep Disorders Center,40.5769969,-111.8540517,9660 S 1300 E,,Sandy,UT,84094,801-314-2400,801-314-2385,https://intermountainhealthcare.org/locations/alta-view-hospital/medical-services/sleep-disorder-center/
47,Alta View Hospital Transfer Center,40.5769969,-111.8540517,9660 S 1300 E,,Sandy,UT,84094,801-321-3381,Na,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-hospital/alta-view-hospital-transfer-center/
48,Alta View Hospital Volunteer Services,40.5769969,-111.8540517,9660 S 1300 E,,Sandy,UT,84094,801-501-2464,801-501-2043,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-hospital/alta-view-hospital-volunteer-services/
49,Alta View InstaCare,40.5795531,-111.8542365,9450 S 1300 E,,Sandy,UT,84094,801-501-2110,801-501-2109,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-clinic/alta-view-instacare/
50,Alta View KidsCare,40.5795531,-111.8542365,9450 S 1300 E,,Sandy,UT,84094,801-501-2110,801-501-2109,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-clinic/alta-view-kidscare/
51,Alta View Mammography,40.577295,-111.854159,9600 South 1300 East Ste 245,,Sandy,UT,84094,801-501-2481,801-507-7898,https://intermountainhealthcare.org/locations/alta-view-hospital/medical-services/mammogram/
52,Alta View Mammography,40.578051,-111.853267,9600 S 1300 E Ste 245,,Sandy,UT,84094,801-501-2481,526944420-507-7898,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-women-s-center/alta-view-mammography/
53,Alta View Maternal Fetal Medicine,40.5769969,-111.8540517,9660 S 1300 E,,Sandy,UT,84094,801-501-2332,801-501-2078,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-hospital/alta-view-maternal-fetal-medicine/
54,Alta View Speech Pathology,40.5744929,-111.853964,9720 S 1300 E W130,,Sandy,UT,84094,801-501-2262,801-501-2254,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-medical-plaza/alta-view-speech-pathology/
55,Alta View Women's Center Lab,40.578051,-111.853267,9600 S 1300 E Ste 304,,Sandy,UT,84094,801-501-2550,801-501-2554,https://intermountainhealthcare.org/locations/location-details/alta-view-hospital/alta-view-women-s-center/alta-view-women-s-center-lab/
56,American Fork Diabetes and Endocrinology Center,40.3791709,-111.7690525,98 N 1100 E,,American Fork,UT,84003,801-492-2290,801-492-2236,https://intermountainhealthcare.org/locations/location-details/american-fork-hospital/intermountain-american-fork-specialty-clinic/american-fork-diabetes-and-endocrinology-center/
57,American Fork Endoscopy,40.3804239,-111.7671837,170 N 1100 E,,American Fork,UT,84003,801-855-3361,801-855-3032,https://intermountainhealthcare.org/locations/american-fork-hospital/medical-services/endoscopy/
58,American Fork Hospital,40.3804239,-111.7671837,170 N 1100 E,,American Fork,UT,84003,801-855-3300,801-855-3548,https://intermountainhealthcare.org/locations/american-fork-hospital/
59,American Fork Hospital Administration,40.3804239,-111.7671837,170 N 1100 E,,American Fork,UT,84003,801-855-3505,801-855-3548,https://intermountainhealthcare.org/locations/location-details/american-fork-hospital/american-fork-hospital/american-fork-hospital-administration/
60,American Fork Hospital Angiography,40.3791709,-111.7690525,170 N 1100 E,,American Fork,UT,84003,801-855-3349,801-855-3351,https://intermountainhealthcare.org/locations/american-fork-specialty-clinic/
61,American Fork Hospital Audiology,40.3791709,-111.7690525,98 N 1100 E Ste 203,,American Fork,UT,84003,801-492-2450,801-492-2472,https://intermountainhealthcare.org/locations/location-details/american-fork-hospital/intermountain-american-fork-specialty-clinic/american-fork-hospital-audiology/
62,American Fork Hospital Emergency Department,40.3804239,-111.7671837,170 N 1100 E,,American Fork,UT,84003,801-855-4600,801-855-4680,https://intermountainhealthcare.org/locations/american-fork-hospital/
63,American Fork Hospital Garden View Cafe,40.3804239,-111.7671837,170 N 1100 E,,American Fork,UT,84003,801-855-3460,801-855-3548,https://intermountainhealthcare.org/locations/location-details/american-fork-hospital/american-fork-hospital/american-fork-hospital-garden-view-cafe/
64,American Fork Hospital Gift Shop,40.3804239,-111.7671837,170 N 1100 E,,American Fork,UT,84003,801-855-4490,801-855-3548,https://intermountainhealthcare.org/locations/location-details/american-fork-hospital/american-fork-hospital/american-fork-hospital-gift-shop/
65,American Fork Hospital Imaging Services,40.3804239,-111.7671837,170 N 1100 E,,American Fork,UT,84003,801-855-3350,801-855-3351,https://intermountainhealthcare.org/locations/american-fork-hospital/medical-services/imaging/
66,American Fork Hospital Intensive Care Unit,40.3804239,-111.7671837,170 N 1100 E,,American Fork,UT,84003,801-855-3325,801-855-3203,https://intermountainhealthcare.org/locations/american-fork-hospital/
67,American Fork Hospital Labor and Delivery,40.3804239,-111.7671837,170 N 1100 E,,American Fork,UT,84003,801-855-3625,801-855-3201,https://intermountainhealthcare.org/locations/american-fork-hospital/medical-services/women-newborn-care/women-newborn-services/labor-delivery/
68,American Fork Hospital Laboratory,40.3804239,-111.7671837,170 N 1100 E,,American Fork,UT,84003,801-855-4362,801-855-3548,https://intermountainhealthcare.org/locations/location-details/american-fork-hospital/american-fork-hospital/american-fork-hospital-laboratory/
69,American Fork Hospital Level II Nursery,40.3804239,-111.7671837,170 N 1100 E,,American Fork,UT,84003,801-855-3610,801-855-4010,https://intermountainhealthcare.org/locations/american-fork-hospital/
70,American Fork Hospital Medical Records,40.3804239,-111.7671837,170 N 1100 E,,American Fork,UT,84003,385-533-0440,385-215-7047,https://intermountainhealthcare.org/patient-tools/patient-medical-records/
